run_number,scenario,arrivals,mean_q_time_nurse,mean_time_with_nurse,mean_nurse_utilisation,mean_nurse_utilisation_tw,mean_nurse_q_length,count_nurse_unseen,mean_q_time_nurse_unseen,mean_time_in_system,mean_n_in_system
0,0,10790,0.5185321805418852,10.038295078961,0.5014374222243866,0.501437422224387,0.12951301453812364,0,,10.555203262256912,2.6367001256600586
1,0,10787,0.49626891151454416,10.224439362484883,0.5106553500497839,0.5106553500497837,0.12391788769693028,0,,10.720708273999417,2.6771946379458487
2,0,10827,0.49710092951617946,9.901036511215478,0.4962939811036566,0.4962939811036556,0.12458592045999248,0,,10.397126579277147,2.6060558259782702
3,0,10800,0.5049693589409172,10.00234076744067,0.5001329378691676,0.5001329378691672,0.1262847539976046,0,,10.50685193577531,2.626949443343441
4,0,10748,0.4746767027717812,10.011372602107304,0.49817086137571637,0.49817086137571487,0.11809780558775704,0,,10.486267324442018,2.6089521124663313
5,0,10788,0.46710374089441664,9.95776713973189,0.49736181208654817,0.49736181208654845,0.11664618418446682,0,,10.422104614358778,2.603455244617209
6,0,10747,0.45256195689377055,9.888304651236542,0.49217026037847267,0.49217026037847406,0.11258526274854982,0,,10.333506204485184,2.5734365646409203
7,0,10719,0.5902687696908977,10.190850645468494,0.5054577429842375,0.5054577429842357,0.14646043847955398,0,,10.77666589989979,2.6737491534007325
8,0,10836,0.5240454126388586,10.129095063656315,0.5080937133949796,0.5080937133949796,0.13144805767024706,0,,10.651183139359064,2.6719166246451445
9,0,10742,0.4566419736598521,9.989609627326171,0.49694676825344614,0.4969467682534455,0.11354884944558173,0,,10.442514139888516,2.598282690712809
10,0,10854,0.5380936763354897,9.990544391961002,0.5017157196767464,0.5017157196767453,0.1352149673627936,4,0.742550458155165,10.524425851622494,2.6437935657465204
11,0,10724,0.3411799813085308,9.851412121356372,0.4891503123787982,0.48915031237879747,0.08469477128594176,0,,10.185995211005757,2.5304463331799294
12,0,10854,0.448186069405559,9.87792855120413,0.4963750893055763,0.4963750893055759,0.1126067499381467,0,,10.322322144192782,2.5944821964660263
13,0,10693,0.3917601910319952,9.78946825875932,0.4847880074401233,0.4847880074401236,0.09696971580335938,0,,10.179727730847924,2.520909753003978
14,0,10917,0.5675635450599201,10.049891549067578,0.5081148347410617,0.5081148347410629,0.14342803753285066,0,,10.617455094127536,2.684002211238165
15,0,10833,0.46091608505493414,9.984502776099735,0.500653495107869,0.5006534951078692,0.11558110993981717,0,,10.440323564113461,2.618848585479163
16,0,10788,0.47369062632526554,10.015265603108288,0.5005678829416618,0.5005678829416623,0.11830834089455325,0,,10.48908406936882,2.621147755602865
17,0,10690,0.4761740903833518,9.983169123880916,0.4941319434426954,0.49413194344269457,0.11783104227310257,0,,10.460326449307965,2.5884907594865756
18,0,10486,0.3575944290378721,9.868477415217479,0.4791626399391365,0.4791626399391362,0.0867994255298872,0,,10.225646905977932,2.4826126252255682
19,0,10815,0.42851831043970895,9.898975761536875,0.4956348201411994,0.49563482014119953,0.10727836868994102,0,,10.325343451886935,2.5854524693959386
20,0,10622,0.5570755282298945,9.825137295330315,0.4832761845768153,0.4832761845768154,0.13697352455689674,0,,10.380732293344352,2.5533544474409737
21,0,10830,0.4869099264349747,9.963018748210395,0.4996193743753855,0.49961937437538423,0.1220656135021013,0,,10.448903437235822,2.6201624853790224
22,0,10676,0.6256309746504354,9.859948772811755,0.4873663905994785,0.4873663905994784,0.1548525174960317,2,3.0582925444905413,10.482799720719859,2.5916844704934237
23,0,10876,0.5490427351511018,9.993037203244715,0.5031867920065699,0.5031867920065705,0.13822659230331905,0,,10.543182965976353,2.6541605523361715
24,0,10850,0.5006743147616936,9.953653118735623,0.4999633535192411,0.499963353519239,0.1257480628510272,0,,10.454898377922804,2.6255648304472223
25,0,10670,0.5369800995326406,10.132875835675495,0.5003038278267512,0.5003038278267509,0.1326291125466036,0,,10.663357969175927,2.634148251680358
26,0,10693,0.4524202799705882,9.84769122075977,0.4877214650981865,0.4877214650981865,0.11198449198438656,0,,10.299511863506412,2.550591817475319
27,0,10712,0.5245934485062953,10.025456050550394,0.49735357612504494,0.49735357612504555,0.1300797458425795,0,,10.547976155146397,2.6168476264678073
28,0,10577,0.4068991127092483,10.042976870835432,0.49182810404657396,0.49182810404657357,0.09962434988716942,0,,10.44987598354466,2.5587648701200374
29,0,10693,0.5108176843100298,9.964715022136751,0.49314783105089627,0.4931478310508971,0.12648639901093164,1,2.5497566294070566,10.467255804447477,2.592225554265417
30,0,10773,0.5255232495739238,10.04357621597181,0.5008356990964372,0.5008356990964371,0.13105236036249726,0,,10.567352779318645,2.6352308558446826
